product_comments
ডেলিভারি দেওয়ার ডেট ছিল ১৩-৩-২৫ তারিখ কিন্তু ১৪-৩- ২৫ তারিখে ডেলিভারি পেয়ে গেছি প্যাকেজ ভালো ছিল  ঠিকঠাক ভাবে পেয়েছি সাইজ  ঠিক ছিল
"Everything is fine. The shoe size is correct and I received it as I ordered.

সবকিছু ঠিক আছে। জুতার মাপ ঠিক আছে এবং আমি যেমন অর্ডার করেছিলাম তেমনই পেয়েছি।"
"বিজ্ঞাপনে দেখানো সেম প্রোডাক্ট এবং সেম সাইজ পেয়েছি, ৳৪৯৯ টাকার বাটা ভাউচার এবং ফ্রি ডেলিভারিতে ৩৫৭ টাকায় হাতে পেয়েছি।"
Average quality. but photo te mark kora jaigai ekta transparent pipe dile ektu valo hoito
আলহামদুলিল্লাহ। ঠিক মতো প্রোডাক্ট হাতে পেয়েছি। সেলারকে ধন্যবাদ।
Ok ...............  .. ............... 
This is best product. size is perfect  
"alhamdurillah,, onek valo product.. "
অনেক সুন্দর  
sundor ace 
good 
ভালো ছিল  
The product was nice and genuine. very happy to be with Bata and daraz bd 
"অনেক সুন্দর হয়েছে 
আর ডেলিভারি রাইডার ভাই এর ব্যাবহার অনেক ভালো ছিলো 
 "
best fit for me. but not looks so elegant. value for money 
Really a good product. Thanks to seller. 
Product is too good. packaging also. 
বেশ সুন্দর। কম দামে বেস্ট প্রডাক্ট 
আলহামদুলিল্লাহ চমৎকার এই দামে। 
"দারুন জুতা।
ধন্যাবাদ বাটা। "
আমারটায় রিজেকশন আছে... 
Everything was good. 
good product  
Nice product 
not bad 👍👍 
Nc product. 
Excellent  
very good  
Perfect  
supar 
good 
সামনে পিতাটার জন্য জুতাটি পড়তে অসুবিধা এবং দেখতে খারাপ দেখায়। তবে তা ছাড়া আপাদত কোন সমস্যা পাইনি।
All OKK.... 👍👍👍👍👍👍👍 
